x,y,interannual_variability,water_stress,pop_density_log,population_density_km2,cropland_percent,irrigated_percent,landcover_diversity,grazing_intensity_log,livestock_density_km2,soc_0_30cm_kg_m2,soc_0_30cm_t_ha,governance_perc_rank,road_density_log,shdi_2022,mean_annual_precipitation,aridity_index
0.75,44.25,1.52199852466583,1.29628622531891,4.60857358280352,99.3409194946289,87.0400309562683,0,0.255895137786865,3.33913418623578,27.1947047710419,4.69718217849731,46.9718217849731,79.9921722412109,6.51754703115424,0.907000005245209,915.666687011719,0.845263779163361
1.25,44.25,1.52199852466583,1.29628622531891,4.40861697858803,81.15576171875,72.8789389133453,0,0.414229094982147,3.89427805675476,48.120578289032,4.79364395141602,47.9364395141602,79.9921722412109,6.60066330972265,0.910000026226044,823.555541992188,0.74437415599823
1.75,44.25,1.44973206520081,1.82148921489716,3.4213509493853,29.6107406616211,41.5230691432953,0,0.582321286201477,4.55413933342824,94.0249352455139,5.55122184753418,55.5122184753418,79.9921722412109,6.50098408149405,0.910000026226044,772.444458007812,0.681627571582794
2.25,44.25,1.44973206520081,1.82148921489716,3.78169770175993,42.8904914855957,72.0342099666595,0,0.437010556459427,5.3793728753391,215.886218070984,5.72274303436279,57.2274303436279,79.9921722412109,6.75079303321746,0.910000026226044,768,0.664321839809418
2.75,44.25,1.44973206520081,1.82148921489716,3.85155026378571,46.0659713745117,44.4918036460876,0,0.601279437541962,5.20161096693025,180.564500808716,6.70903253555298,67.0903253555298,79.9921722412109,6.65161824030789,0.910000026226044,775.444458007812,0.682402372360229
3.25,44.25,2.39523220062256,0,3.17815173611817,23.0023498535156,21.6680034995079,0,0.616264820098877,4.4923179733011,88.328266620636,7.64336442947388,76.4336442947388,79.9921722412109,6.47369268925257,0.89300000667572,850.777770996094,0.777366816997528
3.75,44.25,1.53800582885742,0,2.91843828744095,17.5123538970947,4.03594374656677,0,0.366323858499527,3.56025333961522,34.1721065044403,7.55377244949341,75.5377244949341,79.9921722412109,6.46031280030148,0.89300000667572,1002.77777099609,0.861657857894897
4.25,44.25,1.535200715065,0,4.54656819169639,93.3082046508789,37.9799962043762,7.8958942270278e-15,0.657940685749054,2.94967977940896,18.0998365879059,5.74207973480225,57.4207973480225,79.9921722412109,6.74649646972132,0.89300000667572,811.555541992188,0.640463650226593
4.75,44.25,1.535200715065,0,4.97328278105897,143.500473022461,67.6158249378204,0,0.664833188056946,2.89759059708358,17.1304092407227,5.07557773590088,50.7557773590088,79.9921722412109,7.07145429193675,0.912000000476837,850.333312988281,0.614114820957184
5.25,44.25,1.535200715065,0,4.09350771262907,58.9498100280762,49.2685198783875,0.00617283949395642,0.715850114822388,3.31633652371957,26.5592029094696,5.2626953125,52.626953125,79.9921722412109,6.62332053242242,0.922999978065491,941.555541992188,0.708311319351196
5.75,44.25,2.00337147712708,1.79776954650879,3.19689443265914,23.4564609527588,43.205264210701,0,0.571270763874054,3.90375480801757,48.588294506073,5.50113868713379,55.0113868713379,79.9921722412109,6.27799762139625,0.912000000476837,941.777770996094,0.745716631412506
6.25,44.25,2.00337147712708,1.79776954650879,3.25686936017577,24.9681129455566,18.8243329524994,0,0.578651607036591,3.76313643039678,42.0833421945572,5.87794923782349,58.7794923782349,79.9921722412109,6.12035382457595,0.912000000476837,974.222229003906,0.838620960712433
6.75,44.25,2.45911979675293,3.29876303672791,2.14056789469251,7.50426578521729,0.811903830617666,0,0.569145560264587,3.06016508399216,20.3310782909393,6.30897188186646,63.0897188186646,79.9921722412109,5.73179810965179,0.912000000476837,1096.88891601562,1.04523515701294
7.25,44.25,2.61020636558533,2.6714334487915,3.43792758113681,30.1223926544189,6.49354681372643,0,0.544882476329803,3.48216800928011,31.5301713943481,6.27885580062866,62.7885580062866,70.4018936157227,6.05745281774641,0.912000000476837,971.888916015625,0.915442109107971
